time,open,high,low,close,tick_volume
2025.11.03 20:00,4004.67,4014.932,4004.67,4010.359,9973
2025.11.03 19:00,4006.658,4008.276,3995.081,4004.71,14146
2025.11.03 18:00,4006.134,4009.6,3999.527,4006.661,11747
2025.11.03 17:00,4008.263,4012.066,4003.531,4006.159,13498
2025.11.03 16:00,4008.604,4013.492,3995.327,4008.205,22743
2025.11.03 15:00,4022.761,4030.646,4003.414,4008.635,36584
2025.11.03 14:00,4016.024,4026.127,4001.745,4022.647,27816
2025.11.03 13:00,4013.206,4020.632,4010.724,4015.983,24614
2025.11.03 12:00,4007.556,4013.568,4001.707,4013.239,14221
2025.11.03 11:00,3998.951,4008.639,3994.258,4007.563,14662
2025.11.03 10:00,4000.679,4004.807,3994.424,3998.911,17912
2025.11.03 09:00,4019.807,4026.007,3992.968,4000.605,24122
2025.11.03 08:00,4025.371,4027.868,4011.224,4019.736,18275
2025.11.03 07:00,4017.343,4026.054,4013.527,4025.279,15344
2025.11.03 06:00,4014.082,4018.783,4010.105,4017.369,13729
2025.11.03 05:00,4003.762,4018.698,3997.685,4014.055,14820
2025.11.03 04:00,4011.183,4014.493,4001.693,4003.761,12307
2025.11.03 03:00,4004.042,4015.557,4002.349,4011.186,16270
2025.11.03 02:00,3995.811,4006.557,3990.316,4004.002,18630
2025.11.03 01:00,3971.006,4001.846,3965.367,3995.838,30196
2025.11.03 00:00,3980.378,3987.771,3962.306,3970.971,22269
2025.11.02 23:00,3990.719,3998.936,3977.946,3980.468,17526
2025.10.31 20:00,4001.033,4006.709,3996.134,4001.621,7984
2025.10.31 19:00,4000.064,4005.615,3991.236,4001.071,15936
2025.10.31 18:00,3997.706,4010.142,3995.487,4000.027,15835
2025.10.31 17:00,3980.793,4003.589,3980.453,3997.671,25456
2025.10.31 16:00,4012.753,4015.136,3972.406,3980.751,47364
2025.10.31 15:00,4020.566,4022.818,4009.409,4012.804,26078
2025.10.31 14:00,4016.556,4027.332,4010.859,4020.547,27343
2025.10.31 13:00,4023.013,4035.265,4010.09,4016.522,33796
2025.10.31 12:00,4010.483,4036.188,4009.075,4023.052,20496
2025.10.31 11:00,4007.413,4011.227,4001.666,4010.527,13396
2025.10.31 10:00,4008.547,4016.773,4003.609,4007.458,14225
2025.10.31 09:00,4010.442,4014.294,3998.795,4008.554,16953
2025.10.31 08:00,4020.948,4026.871,4006.64,4010.481,18170
2025.10.31 07:00,4013.086,4025.316,4007.446,4021.041,19121
2025.10.31 06:00,4005.121,4015.101,4002.055,4013.049,19783
2025.10.31 05:00,4005.64,4011.353,3994.021,4005.093,20349
2025.10.31 04:00,3996.448,4010.602,3989.103,4005.678,15050
2025.10.31 03:00,4011.118,4013.936,3991.092,3996.422,21355
2025.10.31 02:00,4018.824,4019.228,4001.586,4011.051,26578
2025.10.31 01:00,4025.272,4039.309,4012.93,4018.868,25065
2025.10.31 00:00,4036.633,4037.155,4023.798,4025.304,16688
2025.10.30 23:00,4038.002,4043.094,4018.906,4036.658,18823
2025.10.30 22:00,4023.522,4046.422,4016.328,4037.974,13991
2025.10.30 20:00,4023.4,4027.454,4016.379,4024.533,9667
2025.10.30 19:00,4016.134,4025.972,4015.329,4023.45,16418
2025.10.30 18:00,4004.839,4017.757,4000.237,4016.104,16053
2025.10.30 17:00,4001.324,4017.883,3994.383,4004.795,16371
2025.10.30 16:00,4001.9,4004.112,3991.38,4001.28,18957
2025.10.30 15:00,3996.359,4008.495,3988.385,4001.938,27065
2025.10.30 14:00,3995.414,4014.809,3986.728,3996.41,48689
2025.10.30 13:00,3961.408,3995.367,3960.046,3995.367,40839
2025.10.30 12:00,3974.422,3985.628,3961.012,3961.446,28862
2025.10.30 11:00,3984.311,3984.986,3964.005,3974.38,21313
2025.10.30 10:00,3998.645,4000.997,3973.717,3984.292,22567
2025.10.30 09:00,3976.326,4011.878,3976.001,3998.67,26629
2025.10.30 08:00,3961.339,3976.794,3960.183,3976.385,18390
2025.10.30 07:00,3976.775,3977.246,3955.865,3961.323,19808
2025.10.30 06:00,3963.716,3977.177,3956.36,3976.845,24747
2025.10.30 05:00,3972.664,3978.472,3947.087,3963.757,28662
2025.10.30 04:00,3938.03,3982.421,3934.842,3972.691,29017
2025.10.30 03:00,3921.953,3938.288,3915.301,3938.002,17466
2025.10.30 02:00,3947.937,3948.246,3921.643,3921.95,25955
2025.10.30 01:00,3950.21,3966.389,3945.125,3947.978,27464
2025.10.30 00:00,3952.798,3964.254,3937.991,3950.191,21247
2025.10.29 23:00,3941.38,3954.061,3939.512,3952.836,13219
2025.10.29 22:00,3927.247,3948.501,3917.19,3941.336,20786
2025.10.29 20:00,3945.528,3954.199,3927.99,3928.745,20070
2025.10.29 19:00,3969.431,3979.807,3927.91,3945.555,53988
2025.10.29 18:00,3994.835,4007.464,3942.858,3969.394,80004
2025.10.29 17:00,3992.832,3997.836,3985.614,3994.873,14746
2025.10.29 16:00,3993.009,4001.026,3991.353,3992.863,15051
2025.10.29 15:00,4008.543,4012.122,3989.229,3993.002,26058
2025.10.29 14:00,4012.253,4022.391,4007.362,4008.574,24290
2025.10.29 13:00,4025.357,4025.479,4002.483,4012.287,32237
2025.10.29 12:00,4016.722,4030.268,4013.595,4025.39,20979
2025.10.29 11:00,4023.415,4028.678,4013.39,4016.693,19559
2025.10.29 10:00,4024.1,4029.706,4017.185,4023.366,17738
2025.10.29 09:00,4016.592,4029.65,4013.389,4023.998,18927
2025.10.29 08:00,4001.294,4018.454,4000.436,4016.617,19209
2025.10.29 07:00,3978.332,4001.599,3974.965,4001.329,20097
2025.10.29 06:00,3962.509,3984.966,3959.849,3978.278,17670
2025.10.29 05:00,3952.044,3966.401,3950.749,3962.618,18083
2025.10.29 04:00,3963.373,3964.926,3951.138,3952.027,14426
2025.10.29 03:00,3961.214,3972.238,3958.379,3963.36,15309
2025.10.29 02:00,3973.775,3974.537,3944.199,3961.174,22184
2025.10.29 01:00,3975.258,3979.705,3966.152,3973.798,24096
2025.10.29 00:00,3964.847,3982.257,3959.089,3975.301,20587
2025.10.28 23:00,3934.044,3967.841,3934.003,3964.818,15389
2025.10.28 22:00,3957.342,3961.222,3915.99,3934.029,23716
2025.10.28 20:00,3960.164,3960.968,3949.293,3952.221,9571
2025.10.28 19:00,3956.638,3962.866,3950.76,3960.116,19021
2025.10.28 18:00,3962.423,3964.096,3945.144,3956.612,18540
2025.10.28 17:00,3958.424,3970.422,3955.104,3962.456,20916
2025.10.28 16:00,3964.796,3965.383,3951.104,3958.497,27691
2025.10.28 15:00,3949.678,3969.566,3947.11,3964.762,23347
2025.10.28 14:00,3938.934,3953.977,3934.699,3949.702,30954
2025.10.28 13:00,3912.946,3940.493,3912.406,3938.881,43137
2025.10.28 12:00,3923.32,3929.916,3905.489,3912.891,24943
2025.10.28 11:00,3926.447,3929.956,3910.769,3923.293,23603
2025.10.28 10:00,3904.702,3930.741,3899.951,3926.405,24907
2025.10.28 09:00,3897.452,3911.022,3886.54,3904.714,32707
2025.10.28 08:00,3932.508,3935.894,3896.474,3897.412,37693
2025.10.28 07:00,3942.556,3948.582,3921.754,3932.473,29164
2025.10.28 06:00,3966.512,3968.627,3938.4,3942.666,25812
2025.10.28 05:00,3973.682,3980.167,3959.031,3966.441,24485
2025.10.28 04:00,3992.855,3994.255,3963.645,3973.68,21985
2025.10.28 03:00,3983.838,3994.378,3983.107,3992.9,13829
2025.10.28 02:00,4010.983,4013.994,3980.663,3983.882,24245
2025.10.28 01:00,4006.712,4019.767,4004.355,4011.01,24355
2025.10.28 00:00,3998.379,4009.739,3973.043,4006.746,19361
2025.10.27 23:00,3989.896,4004.562,3982.88,3998.491,13089
2025.10.27 22:00,3986.884,3996.477,3983.714,3989.898,10551
2025.10.27 20:00,3990.176,4000.309,3979.11,3982.549,13108
